lon,lat,name,amenity
-121.7491019,38.5397313,Shields Library,library
-121.8462597,39.7281471,Meriam Library,library
-122.0564284,37.6558452,University Library,library
-118.8199168,34.259645,Ronald Reagan Presidential Library and Museum,library
-117.8466005,33.6458617,Science Library,library
-117.5022944,33.9105165,Library - Fritz Guy,library
-120.6637913,35.3018471,Robert E. Kennedy Library,library
-120.4236628,37.3768617,Merced Irrigation District,library
-121.8751144,37.667792,,library
-122.2709931,37.8563563,Berkeley Public Library - Tarea Hall Pittman South Branch,library
-122.0287631,37.3178419,Cupertino Library,library
-118.5777019,34.1858719,Library/ Learning Crossroads,library
-118.2837321,34.0201659,Edward L Doheny Junior Memorial Library,library
-118.2438415,34.0500992,Little Tokyo Library,library
-118.4437367,34.1512284,Sherman Oaks Branch Los Angeles Public Library,library
-118.5293279,34.2401028,University Library,library
-118.4167856,33.9239915,El Segundo Public Library,library
-118.4931376,34.0186674,Santa Monica Main Public Library,library
-118.2559065,33.8639627,Leo F. Cain Library (LIB),library
-122.2652448,38.0095994,Hercules Library - Contra Costa County Library,library
-118.6881757,34.0371668,Malibu Branch County of Los Angeles Public Library,library
-118.1119532,34.128138,Huntington Library,library
-118.4591137,34.2467787,Lassen School Library,library
-117.0680284,32.5767053,Otay Mesa Branch San Diego Public Library,library
-122.5802513,38.1072094,Novato Regional Branch Marin County Free Library,library
-118.1443052,34.1500211,Pasadena Public Library,library
-117.2848352,33.1582591,Sage Creek Library,library
-122.0589582,36.9957077,McHenry Library,library
-119.0407431,34.1627965,John Spoor Broome Library,library
-121.9262641,37.3318629,Rose Garden Branch Library,library
-117.6634051,33.5052763,San Juan Capistrano Branch Orange County Public Library,library
-117.435073,34.100652,Fontana Lewis Library & Technology Center,library
-117.1632094,34.0640928,Armacost Library,library
-118.1125679,34.1188992,Crowell Public Library,library
-120.8394311,37.4977552,Turlock Public Library,library
-117.4846553,34.0038074,Glen Avon Regional Library,library
-118.2571243,34.0210794,LA County Library,library
-122.1823201,37.7813194,F. W. Olin Library,library
-122.2603434,37.8735394,C V Starr East Asian Library,library
-122.2588813,37.872245,Bancroft Library,library
-122.2595133,37.8721874,Doe Memorial Library,library
-122.2561392,37.8704496,Hargrove Music Library,library
-122.4157709,37.7791272,San Francisco Public Library - Main Library,library
-121.8850065,37.3355115,Doctor Martin Luther King Junior Library,library
-118.1048679,33.7436757,Mary Wilson Branch Orange County Public Library,library
-121.7510219,38.5563264,Craig Armstrong Library,library
-122.2686573,37.8679625,Central Branch Berkeley Public Library,library
-117.1839515,34.0542338,A. K. Smiley Public Library,library
-122.263703,37.8009665,Main Branch Oakland Public Library,library
-121.9690971,37.4246214,Alviso Branch Library and Community Center,library
-122.0677069,37.359641,Mountain View High School Library,library
-122.113313,37.3808742,Los Altos Library,library
-118.8526481,34.2011343,Thousand Oaks Grant R. Brimhall Library,library
-122.2754364,37.8854469,Berkeley Public Library North Branch,library
-118.0572183,34.1083501,Temple City Library,library
-121.8664471,37.2678074,Pearl Avenue Branch Library,library
-122.1293519,37.3618646,Hubert H. Semans Library,library
-117.6369965,33.5534675,Ladera Ranch Branch Library,library
-121.9807771,37.3919774,Mission College Library,library
-122.3096892,37.9674157,El Sobrante Library - Contra Costa County Library,library
-121.9353213,37.9426397,Clayton Library,library
-122.0252564,37.9815988,"Concord Branch, Contra Costa County Library",library
-122.2909499,37.8695498,West Branch Berkeley Public Library,library
-117.0951121,32.8967514,Alliant International University of San Diego Library,library
-117.1719574,32.7496016,Mission Hills Branch San Diego Public Library,library
-117.0612048,32.6726748,Paradise Hills Branch San Diego Public Library,library
-117.1336323,32.6973531,Logan Heights Branch San Diego Public Library,library
-117.1939835,32.7935901,Clairemont Library,library
-117.1051959,32.9111739,Scripps Miramar Ranch Library,library
-117.0833194,32.5672396,,library
-117.2499571,32.7941649,Pacific Beach/Taylor Library,library
-117.2294454,32.7400804,Point Loma/Hervey Library,library
-117.1068654,32.763029,Normal Heights-Kensington Branch San Diego Public Library,library
-117.2741944,32.8469729,La Jolla Branch San Diego Public Library,library
-117.0656118,32.9977863,,library
-117.2760876,32.8407621,La Jolla/Riford Library,library
-117.0711672,32.7752598,Malcom A. Love Library,library
-117.0752778,33.0249477,Rancho Bernardo Branch Library,library
-117.1220968,32.9580274,Rancho Peñasquitos Library,library
-117.0737918,32.9816902,Carmel Mountain Ranch Branch Library,library
-117.2308549,32.9522214,Carmel Valley Library,library
-117.1003419,32.7474589,City Heights-Weingart Branch San Diego City Library,library
-118.3064904,34.183915,Burbank Central Library,library
-122.4351168,37.7501884,Noe Valley / Sally Brunn Branch Library,library
-121.747117,38.5569359,Mary L. Stevens-Davis Branch (Yolo County Library),library
-121.9262366,37.3157636,Library / Learning Resource Center,library
-122.0607562,36.9991411,Science & Engineering Library,library
-122.4132332,37.8025679,North Beach Branch Library,library
-122.1796881,37.4540707,Menlo Park Central Library,library
-121.79983,37.2374873,Santa Teresa Branch Library,library
