lon,lat,name,amenity
-117.5666377,34.1425258,Banyan Elementary School,school
-117.5554372,34.1453722,Los Osos High School,school
-117.5333713,34.144579,John L. Golden Elementary,school
-117.5347023,34.1535498,Day Creek Intermediate School,school
-117.4644542,34.148248,Summit High School,school
-122.0233475,37.0459508,Scotts Valley Middle School,school
-119.1669323,34.2435543,Rio del Mar Elementary School,school
-119.1689433,34.2423256,Rio Vista Middle School,school
-117.7714486,33.728467,Hicks Canyon Elementary School,school
-121.9455587,37.7478246,California High School,school
-121.9504814,37.7554918,Montevideo Elementary School,school
-121.8742404,37.6926129,Fairlands Elementary School,school
-121.9205826,37.7101877,Valley High School,school
-121.922516,37.7158892,Frederiksen Elementary School,school
-121.8623992,37.6601117,Valley View Elementary School,school
-121.8558383,37.6552513,Vintage Hills Elementary School,school
-121.9224405,37.4877291,James Leitch Elementary School,school
-122.2360021,37.5380053,Sandpiper School,school
-122.2612338,37.5616824,Brewer Island Elementary School,school
-116.1756761,33.6738249,Bobby G. Duke Middle School,school
-122.078156,37.6692756,Bret Harte Intermediate School,school
-116.2013184,33.6754289,Coral Mountain Academy,school
-116.1755839,33.6771757,Coachella Valley Adult School,school
-116.1766688,33.6764499,Palm View Elementary School,school
-116.1871106,33.6884309,Cesar Chavez Elementary School,school
-116.158965,33.6751497,Valle Del Sol Elementary School,school
-117.0906347,33.1544409,Calvin Christian School,school
-122.2455014,38.1140896,Vallejo High School,school
-116.1617789,33.5728952,Desert Mirage High School,school
-116.1592686,33.5712745,Las Palmitas Elementary School,school
-116.1612099,33.5717687,Toro Canyon Middle School,school
-122.0720964,37.7157983,Proctor Elementary School,school
-116.1783958,33.6664184,Valley View Elementary School,school
-116.205551,33.6790837,Jordan Christian Academy,school
-119.3045054,36.3287507,Redwood High School,school
-117.2184197,33.7787833,Pathways for Adult Life Skills,school
-121.7720555,37.6955613,Valley Montessouri Elementary School,school
-116.4525501,33.8323268,James Workman Middle School,school
-116.5066345,33.8417149,,school
-117.2248975,32.8021631,Bayview Terrace Elementary School,school
-117.0976576,32.710749,Chollas-Mead Elementary School,school
-122.2154393,37.4817934,Hoover School,school
-117.1264601,32.8019168,Cubberly Elementary School,school
-117.1349266,32.8055388,Harry M Wegeforth Elementary School,school
-117.1306307,32.8007962,Taft Junior High School,school
-117.145322,32.8060439,Will Angier Elementary School,school
-117.1336274,32.804116,Saint Columba Catholic School,school
-79.9262256,40.0449795,California Area High School,school
-122.4335148,37.7928756,Pacific Heights School,school
-117.2237566,32.9144207,Torrey Hills Elementary School,school
-116.2241327,33.6691761,Cahuilla Desert Academy,school
-122.4768488,37.7519698,,school
-122.4990266,37.7575198,Holy Name School,school
-117.2147481,32.9281781,Ocean Air School,school
-122.4463348,37.7780353,San Francisco Day School,school
-120.2531885,36.6456297,Tranquillity High School,school
-119.7927662,36.8400418,Pinedale Elementary School,school
-118.4222376,33.9774922,Westside Neighborhood School,school
-118.4552672,34.1891628,Van Nuys High School,school
-117.1475214,32.7564659,Alice Birney Elementary School,school
-118.2019842,33.9264746,Fred W. Hosler Middle School,school
-122.0840605,37.4035247,Stevenson PACT Elementary School,school
-121.3549639,38.5784803,Rio Americano High School,school
-121.7773188,38.5517122,Ralph Waldo Emerson Junior High School,school
-118.5925036,34.4013402,Rancho Pico Junior High School,school
-118.4004647,34.0060648,Culver City Middle School,school
-121.6244571,39.1291304,Yuba City High School,school
-118.4658534,34.2409568,Sepulveda Middle School,school
-118.4656203,34.2398152,Carlos Santana Arts Academy,school
-121.9233207,36.5627471,Stevenson School - Carmel Campus,school
-119.2539096,34.2727243,Saint Bonaventure High School,school
-118.4599151,34.2400733,Plummer Elementary School,school
-118.4598439,34.247152,Lassen Elementary School,school
-118.5063818,34.2405994,Oliver Wendell Holmes Middle School,school
-117.7848707,34.0356188,,school
-117.9401807,34.1495134,,school
-117.9980307,34.1500762,,school
-118.2432978,34.223106,Crescenta Valley High School,school
-118.1838683,34.6481361,,school
-121.7116421,37.9891602,O'Hara Park Middle School,school
-118.5243813,34.2453419,Northridge Academy High School,school
-118.6198866,34.450808,Live Oak Elementary School,school
-118.6391769,34.4709596,Castaic Middle School,school
-118.897632,34.2709241,,school
-117.6349643,33.442452,Shorecliffs Middle School,school
-121.9759021,37.2233969,Los Gatos High School,school
-118.0622742,33.8056189,Los Alamitos Elementary School,school
-118.0617803,33.8085155,McAuliffe Middle School,school
-122.4218473,37.7751619,International High School,school
-122.1277518,37.8663401,Campolindo High School,school
-118.4785274,34.2374539,James Monroe High School,school
-118.4692443,34.2339755,Our Lady of Peace Catholic School,school
-122.3995673,37.7819019,Academy of Art University,school
-118.4815653,34.2410358,Gledhill Elementary School,school
-118.4616898,34.2309082,Rosa Park Learning Center,school
-118.4617547,34.223065,Nobel Elementary School,school
-118.8539225,34.7924487,Gorman Elementary School,school
-122.4966659,37.7504136,A. P. Giannini Middle School,school
-115.575586,32.7879924,Margaret Hedrick Elementary School,school
-121.645636,36.69574,Madonna del Sasso School,school
-119.0474064,35.3649201,Caroline Harris Elementary School,school
-122.2549327,37.7654357,Saint Joseph Notre Dame High School,school
-123.2241471,39.1648454,Ukiah High School,school
-118.4581719,34.2406851,Valor Academy High School,school
-124.1566184,40.7894951,Eureka High School,school
-122.2214286,38.0535305,John Swett High School,school
-122.2789548,37.8582121,Longfellow Middle School,school
-121.9190902,36.9848549,Mar Vista Elementary School,school
-118.0183447,33.7067845,Hope View Elementary School,school
-121.8511444,37.3970643,Saint Victor Catholic School,school
-117.6006938,33.4402949,Clarence Lobo School,school
-122.2341837,37.4901083,Orion Alternative Elementary School,school
-118.2993736,34.2614444,Verdugo Hills High School,school
-121.4200216,38.5076799,Camellia Basic Elementary School,school
-118.5014268,34.028866,Roosevelt Elementary School,school
-121.8264116,37.3718454,Saint John Vianney School,school
-117.6863747,33.5421034,Niguel Hills Middle School,school
-118.4244863,34.314101,Hubbard Elementary School,school
-118.4430837,34.2809511,Saint Ferdinand School,school
-118.1042633,34.0758689,Marshall School,school
-117.2864771,34.5064073,Green Tree East Leadership Academy,school
-118.612943,34.1422121,Alice C. Stelle Middle School,school
-118.5135435,34.3759173,Dr. J. Michael McGrath Elementary School,school
-118.4951377,34.399974,Golden Valley High School,school
-119.0291564,34.2248361,Pleasant Valley School of Engineering and Arts 1-8,school
-117.6679045,33.5186996,JSerra Catholic High School,school
-121.6503336,36.6556541,Monterey Park Elementary School,school
-117.1703946,34.0546268,Redlands High School,school
-118.2576753,33.8297556,Carnegie Middle School,school
-121.7941358,37.6636477,William Mendenhall Middle School,school
-121.7969662,37.6656016,Emma C Smith Elementary School,school
-119.2262896,34.2715594,Elmhurst Elementary School,school
-119.2495483,34.2780416,Loma Vista Elementary School,school
-121.7742615,37.6627512,Sunset Elementary School,school
-121.9257567,36.611084,Pacific Grove High School,school
-118.413437,34.0371246,Le Lycée Français de Los Angeles,school
-118.7023449,34.2982081,Big Springs Elementary School,school
-121.8571798,37.3661441,ACE Charter High School,school
-117.4162657,34.117167,Alder Middle School,school
-117.4390671,34.1148541,Juniper Elementary School,school
-121.9513945,37.2890819,Old Orchard Middle School Campus,school
-121.951432,37.2891803,SAGE Academy Campus,school
-121.9511155,37.2886228,Casa di Mir Middle School Campus,school
-116.1878961,33.6683113,Peter Pendleton Elementary School,school
-118.6314574,34.471621,Castaic Elementary School,school
-117.3781468,34.1232467,Eisenhower High School,school
-117.16592,34.0324096,Kimberly Elementary School,school
