,importance
zip_avg_log_price,0.31051083119599127
city_avg_log_price,0.24171777175420972
log_house_size,0.09925484443555573
house_size,0.09835408457760156
bath,0.045123022907806606
rooms_total,0.04118719156387836
avg_school_dist_km,0.03193879324298582
bed,0.025401416029162755
sqft_per_bed,0.023344078900033326
acre_lot,0.01819065993120438
log_acre_lot,0.0180560090491791
min_school_dist_km,0.01176679910683967
bath_per_bed,0.010512278110756947
school_count,0.007831888989242317
min_library_dist_km,0.00765484313877333
avg_library_dist_km,0.007134493208646314
library_count,0.0020209938581329323
