longitude,latitude,name,amenity,zipcode,zip_distance_km
-121.7491019,38.5397313,Shields Library,library,95618,0.9433951622078208
-121.8462597,39.7281471,Meriam Library,library,95929,0.46890150701965055
-122.0564284,37.6558452,University Library,library,94542,0.8682156708147099
-118.8199168,34.259645,Ronald Reagan Presidential Library and Museum,library,93062,3.6932582617653287
-117.8466005,33.6458617,Science Library,library,92617,0.5878045543393126
-117.5022944,33.9105165,Library - Fritz Guy,library,92505,1.9839936526961819
-120.6637913,35.3018471,Robert E. Kennedy Library,library,93405,2.0851405838086103
-120.4236628,37.3768617,Merced Irrigation District,library,95348,9.082458100911559
-121.8751144,37.667792,,library,94566,0.22408552773269494
-122.2709931,37.8563563,Berkeley Public Library - Tarea Hall Pittman South Branch,library,94703,0.8144849252456201
-122.0287631,37.3178419,Cupertino Library,library,95014,1.4271191191249877
-118.5777019,34.1858719,Library/ Learning Crossroads,library,91303,2.4121868655704466
-118.2837321,34.0201659,Edward L Doheny Junior Memorial Library,library,90007,1.072670679738138
-118.2438415,34.0500992,Little Tokyo Library,library,90009,0.233961773345663
-118.4437367,34.1512284,Sherman Oaks Branch Los Angeles Public Library,library,91413,0.5029377609325839
-118.5293279,34.2401028,University Library,library,91325,1.1053595100889548
-118.4167856,33.9239915,El Segundo Public Library,library,90245,0.4520830512517753
-118.4931376,34.0186674,Santa Monica Main Public Library,library,90406,0.2011491844755631
-118.2559065,33.8639627,Leo F. Cain Library (LIB),library,90747,0.3994065088427889
-122.2652448,38.0095994,Hercules Library - Contra Costa County Library,library,94547,0.3599340200589136
-118.6881757,34.0371668,Malibu Branch County of Los Angeles Public Library,library,90265,4.336869775634292
-118.1119532,34.128138,Huntington Library,library,91108,0.827396196389957
-118.4591137,34.2467787,Lassen School Library,library,91346,1.3668176398321306
-117.0680284,32.5767053,Otay Mesa Branch San Diego Public Library,library,92154,0.2951007972081876
-122.5802513,38.1072094,Novato Regional Branch Marin County Free Library,library,94947,1.142448853818901
-118.1443052,34.1500211,Pasadena Public Library,library,91102,0.2476247553539106
-117.2848352,33.1582591,Sage Creek Library,library,92010,1.62161646421999
-122.0589582,36.9957077,McHenry Library,library,95064,0.10505779245307385
-119.0407431,34.1627965,John Spoor Broome Library,library,93011,5.967444147491707
-121.9262641,37.3318629,Rose Garden Branch Library,library,95191,1.1191673206937105
-117.6634051,33.5052763,San Juan Capistrano Branch Orange County Public Library,library,92675,0.7337372072952414
-117.435073,34.100652,Fontana Lewis Library & Technology Center,library,92334,0.939843557887036
-117.1632094,34.0640928,Armacost Library,library,92374,0.38118293505754913
-118.1125679,34.1188992,Crowell Public Library,library,91108,0.21559003381587616
-120.8394311,37.4977552,Turlock Public Library,library,95381,0.3489663622659289
-117.4846553,34.0038074,Glen Avon Regional Library,library,92509,3.6558972114345263
-118.2571243,34.0210794,LA County Library,library,90011,1.4688324238173724
-122.1823201,37.7813194,F. W. Olin Library,library,94613,0.37692325424209977
-122.2603434,37.8735394,C V Starr East Asian Library,library,94720,0.47866434163004495
-122.2588813,37.872245,Bancroft Library,library,94720,0.38989303823654076
-122.2595133,37.8721874,Doe Memorial Library,library,94720,0.44285538498894583
-122.2561392,37.8704496,Hargrove Music Library,library,94720,0.3881015438179998
-122.4157709,37.7791272,San Francisco Public Library - Main Library,library,94102,0.25502938460316593
-121.8850065,37.3355115,Doctor Martin Luther King Junior Library,library,95172,0.17024164408106113
-118.1048679,33.7436757,Mary Wilson Branch Orange County Public Library,library,90743,2.7690805982089404
-121.7510219,38.5563264,Craig Armstrong Library,library,95616,0.8496781888259306
-122.2686573,37.8679625,Central Branch Berkeley Public Library,library,94712,0.5380737828169382
-117.1839515,34.0542338,A. K. Smiley Public Library,library,92375,0.2023831938854431
-122.263703,37.8009665,Main Branch Oakland Public Library,library,94604,0.7311290473454397
-121.9690971,37.4246214,Alviso Branch Library and Community Center,library,95002,0.426154255436513
-122.0677069,37.359641,Mountain View High School Library,library,94024,1.7243861980704687
-122.113313,37.3808742,Los Altos Library,library,94023,0.4860071011407455
-118.8526481,34.2011343,Thousand Oaks Grant R. Brimhall Library,library,91360,2.1503205838258848
-122.2754364,37.8854469,Berkeley Public Library North Branch,library,94707,0.8086076096309843
-118.0572183,34.1083501,Temple City Library,library,91780,0.8174948289816891
-121.8664471,37.2678074,Pearl Avenue Branch Library,library,95158,1.1728097722924906
-122.1293519,37.3618646,Hubert H. Semans Library,library,94022,2.1947967878528263
-117.6369965,33.5534675,Ladera Ranch Branch Library,library,92694,1.4075579422580766
-121.9807771,37.3919774,Mission College Library,library,95054,1.6330186730693714
-122.3096892,37.9674157,El Sobrante Library - Contra Costa County Library,library,94820,1.6651302355827762
-121.9353213,37.9426397,Clayton Library,library,94527,2.3115629438044354
-122.0252564,37.9815988,"Concord Branch, Contra Costa County Library",library,94522,0.6499665055844138
-122.2909499,37.8695498,West Branch Berkeley Public Library,library,94710,0.4345477405040424
-117.0951121,32.8967514,Alliant International University of San Diego Library,library,92145,0.9883962329799042
-117.1719574,32.7496016,Mission Hills Branch San Diego Public Library,library,92103,0.849875100829656
-117.0612048,32.6726748,Paradise Hills Branch San Diego Public Library,library,92139,1.5639854902410262
-117.1336323,32.6973531,Logan Heights Branch San Diego Public Library,library,92113,1.7158885495088894
-117.1939835,32.7935901,Clairemont Library,library,92111,2.203861662329642
-117.1051959,32.9111739,Scripps Miramar Ranch Library,library,92131,1.4426378127609742
-117.0833194,32.5672396,,library,92154,1.483799801276259
-117.2499571,32.7941649,Pacific Beach/Taylor Library,library,92109,0.934823687950729
-117.2294454,32.7400804,Point Loma/Hervey Library,library,92107,1.3234352546650316
-117.1068654,32.763029,Normal Heights-Kensington Branch San Diego Public Library,library,92116,1.6223960203622672
-117.2741944,32.8469729,La Jolla Branch San Diego Public Library,library,92038,0.03637562244102731
-117.0656118,32.9977863,,library,92128,1.0403010983140646
-117.2760876,32.8407621,La Jolla/Riford Library,library,92038,0.7480626714917228
-117.0711672,32.7752598,Malcom A. Love Library,library,92182,0.47086608759504306
-117.0752778,33.0249477,Rancho Bernardo Branch Library,library,92127,1.016771251574409
-117.1220968,32.9580274,Rancho Peñasquitos Library,library,92129,0.8010137139037968
-117.0737918,32.9816902,Carmel Mountain Ranch Branch Library,library,92128,2.8166412510353522
-117.2308549,32.9522214,Carmel Valley Library,library,92130,0.6413255676207706
-117.1003419,32.7474589,City Heights-Weingart Branch San Diego City Library,library,92105,0.7794154679068462
-118.3064904,34.183915,Burbank Central Library,library,91503,0.4162511222014466
-122.4351168,37.7501884,Noe Valley / Sally Brunn Branch Library,library,94131,0.641227583061829
-121.747117,38.5569359,Mary L. Stevens-Davis Branch (Yolo County Library),library,95616,0.5790921015242699
-121.9262366,37.3157636,Library / Learning Resource Center,library,95159,0.8021138856670287
-122.0607562,36.9991411,Science & Engineering Library,library,95064,0.44587731537872755
-122.4132332,37.8025679,North Beach Branch Library,library,94133,0.4485505909581345
-122.1796881,37.4540707,Menlo Park Central Library,library,94025,1.7146970609694239
-121.79983,37.2374873,Santa Teresa Branch Library,library,95119,1.2048605530811805
-122.0074062,36.979154,Branciforte Branch Santa Cruz City-County Library,library,95063,0.12391482005338433
-122.2489607,37.8091825,Lakeview Branch Oakland Public Library,library,94610,0.558608221487325
-121.9805965,36.9627563,,library,95062,1.2344454192194652
-121.664125,36.8022412,Prunedale Branch Monterey County Free Libraries,library,93907,5.137946047660086
-121.8922596,37.2402743,Vineland Branch Library,library,95118,1.852591646803253
-121.9710566,37.5505704,Fremont Main Library,library,94538,2.1984045352247725
-121.9443998,37.1259177,,library,95031,4.060001487834278
-121.9737013,37.3406078,Central Park Library,library,95055,0.5739949004092403
-117.548023,34.1318295,Library / Bookstore,library,91737,3.399760889974162
-118.3303549,34.1641363,Burbank Public Library - Buena Vista Branch,library,91506,1.0737169800483986
-118.2456269,34.0543819,Los Angeles County Law Library,library,90009,0.3006255729502047
-117.5688758,34.0181857,Ontario Branch Library,library,91761,4.8278833342276215
-119.1927486,34.1568356,Ray D Prueter Library,library,93041,0.7656508360857405
-121.8806479,37.6575046,Pleasanton Public Library,library,94566,1.0277039647742523
-121.1666177,38.6811931,Folsom Public Library,library,95763,0.8096294575115802
-121.9245716,36.9896466,,library,95001,2.640423218138517
-122.0514816,36.9970655,Stevenson Library,library,95064,0.5758980212814278
-121.956986,36.9891089,,library,95010,1.3861055803643014
-119.1212667,37.9606362,Lee Vining Library,library,93541,3.1594489500588523
-124.0801279,40.8764956,Cal Poly Humboldt Library,library,95521,0.3977427127589914
-118.7521545,37.569067,Crowley Lake Library,library,93546,10.955835900006177
-118.96324,37.6397259,Mammoth Lakes Library,library,93546,9.236642769897081
-117.2369685,32.8752832,WongAvery Library,library,92161,0.8306584279549916
-122.2511018,37.8399494,Rockridge Branch Oakland Public Library,library,94618,1.0193958856675351
-121.9149522,37.2644687,Cambrian Branch Library,library,95154,0.10473840756602344
-122.2853402,37.8129976,West Oakland Branch Oakland Public Library,library,94607,0.6561226055307573
-121.8409664,37.3940779,Berryessa Branch Library,library,95152,1.0486820851224137
-118.1248005,34.1373495,Fairchild Library,library,91106,0.7036707187758907
-122.0272058,37.5880833,Union City Library,library,94587,1.9882561585753735
-117.7357233,33.5551711,Ikeda Library,library,92656,3.011911899302172
-120.6622109,35.2822609,San Luis Obispo Library,library,93403,0.2444550664007657
-120.6535078,35.2955038,,library,93403,1.5169640301968748
-122.0341186,37.353152,Fremont High School Library,library,94087,0.33543545888116394
-118.1147251,33.7770895,University Library,library,90840,0.8068179414017768
-121.6246091,39.1375467,Sutter County Free Library,library,95993,3.5039270718030138
-122.0390244,37.3719467,Sunnyvale Public Library,library,94088,0.4247243370491672
-118.1597369,34.0339083,East Los Angeles Public Library,library,90022,1.098529599656375
-117.2395125,32.6744913,Cabrillo National Monument Library,library,92178,5.4300516803583685
-122.1881757,37.8024514,Cusing Library,library,94619,1.6292805548716875
-122.2047883,37.8087102,Head-Royce Read Library,library,94602,0.9793608899610547
-117.8736701,33.6020369,Sherman Library & Gardens,library,92625,0.058758230240961995
-119.0100871,35.3727721,Beale Memorial Library,library,93302,0.7831207376061754
-119.1032583,35.3514257,Walter W. Stiern Library,library,93309,3.9535052353087208
-118.9908957,35.3834607,,library,93305,0.49839560868540567
-119.0237841,35.3318603,Kern County Library - Eleanor Wilson Branch,library,93304,0.8792331841345329
-118.1496026,34.1692893,La Pintoresca Branch Pasadena Public Library,library,91103,0.5713052325003645
-118.9736521,35.4090962,Grace Van Dyke Bird Library,library,93305,2.852521601711201
-122.2618741,37.8755432,Graduate Theological Union Hewlett Library,library,94709,0.44965323329385765
-117.6593322,33.6806751,Foothill Ranch Public Library,library,92610,0.831993482998661
-119.9736258,38.944463,El Dorado County Library South Lake Tahoe Branch,library,96157,1.15011008401076
